MIDL 32Re Data for 1998-08 (GSM nT, km/s, cm^-3, K)
yr mo dy hr mn sc msc bx by bz ux uy uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
1998  8  1 20 44  0    0    -3.90    -5.43     6.01    -437.8     -4.62    -17.49    23.161      16863    0    0    0    0    0
1998  8  1 20 45  0    0    -3.39    -6.56     4.97    -437.2     -7.16    -18.34    23.267      17273    0    0    0    0    0
1998  8  1 20 46  0    0    -1.60    -7.61     2.49    -433.9     -8.75    -22.25    23.144      16932    0    0    0    0    0
1998  8  1 20 47  0    0     0.52    -8.58    -0.35    -429.9    -10.01    -26.98    22.986      16279    0    0    0    0    0
1998  8  1 20 48  0    0     0.84    -8.73    -0.85    -429.1    -12.45    -33.08    22.024      16181    0    0    0    0    0
1998  8  1 20 49  0    0     0.57    -8.48    -1.60    -428.0    -13.54    -35.83    20.803      16181    0    0    0    0    0
1998  8  1 20 50  0    0     0.43    -8.38    -1.99    -426.7    -14.32    -39.59    19.559      16181    0    0    0    0    0
1998  8  1 20 51  0    0     0.25    -8.44    -2.05    -426.0    -14.74    -42.10    18.860      16785    0    0    0    0    0
1998  8  1 20 52  0    0    -0.12    -8.55    -1.89    -426.2    -14.82    -42.11    18.506      17474    0    0    0    0    0
1998  8  1 20 53  0    0    -0.67    -8.60    -1.13    -427.1    -14.90    -39.55    17.935      17148    0    0    0    0    0
1998  8  1 20 54  0    0    -1.22    -8.54    -0.39    -428.0    -14.90    -37.77    17.491      16920    0    0    0    0    0
1998  8  1 20 55  0    0    -1.72    -8.50    -0.25    -428.8    -13.55    -37.87    15.714      16920    0    0    0    0    0
1998  8  1 20 56  0    0    -1.90    -8.49    -0.32    -430.6    -11.71    -38.16    14.639      16377    0    0    0    0    0
1998  8  1 20 57  0    0    -2.18    -8.32    -0.32    -431.6    -11.71    -38.05    15.023      16786    0    0    0    0    0
1998  8  1 20 58  0    0    -2.13    -8.31    -0.30    -431.5    -11.94    -37.37    13.679      15735    0    0    0    0    0
1998  8  1 20 59  0    0    -1.81    -8.22    -0.22    -430.9    -13.51    -37.36    16.407      16881    0    0    0    0    0
1998  8  1 21  0  0    0    -1.83    -8.17     0.04    -431.0    -13.09    -36.29    16.407      15558    0    0    0    0    0
1998  8  1 21  1  0    0    -2.14    -7.53     2.69    -431.6     -7.40    -24.55    16.426      15152    0    0    0    0    0
1998  8  1 21  2  0    0    -2.41    -7.53     2.37    -433.5     -5.98    -25.97    16.540      12662    0    0    0    0    0
1998  8  1 21  3  0    0    -2.95    -7.31     1.83    -438.0     -6.99    -28.74    18.958      14874    0    0    0    0    0
1998  8  1 21  4  0    0    -3.00    -7.01     2.25    -438.2     -7.83    -28.78    19.253      15225    0    0    0    0    0
1998  8  1 21  5  0    0    -2.97    -6.96     2.52    -438.0     -7.90    -28.78    19.178      15232    0    0    0    0    0
1998  8  1 21  6  0    0    -2.82    -6.87     2.70    -437.2     -7.93    -28.72    18.308      15232    0    0    0    0    0
1998  8  1 21  7  0    0    -2.63    -6.64     3.56    -436.6     -7.94    -26.89    18.131      14188    0    0    0    0    0
1998  8  1 21  8  0    0    -2.50    -6.51     3.89    -435.0     -7.94    -26.24    17.956      13650    0    0    0    0    0
1998  8  1 21  9  0    0    -2.44    -6.35     4.21    -433.7     -7.00    -26.62    17.587      12990    0    0    0    0    0
1998  8  1 21 10  0    0    -2.53    -6.03     4.80    -432.9     -5.50    -27.66    16.615      12156    0    0    0    0    0
1998  8  1 21 11  0    0    -2.73    -5.69     5.10    -431.6     -5.50    -28.90    15.397      12156    0    0    0    0    0
1998  8  1 21 12  0    0    -2.73    -5.69     5.12    -431.5     -5.57    -30.20    17.071      11909    0    0    0    0    0
1998  8  1 21 13  0    0    -2.74    -5.71     5.06    -430.9     -6.03    -29.06    15.887      10266    0    0    0    0    0
1998  8  1 21 14  0    0    -2.87    -6.11     4.35    -430.7     -6.04    -29.04    17.649      12520    0    0    0    0    0
1998  8  1 21 15  0    0    -2.87    -6.11     4.35    -430.2     -6.32    -28.43    15.852      10222    0    0    0    0    0
1998  8  1 21 16  0    0    -2.84    -6.05     4.46    -429.9     -6.33    -28.41    16.784      12092    0    0    0    0    0
1998  8  1 21 17  0    0    -2.81    -5.95     4.58    -429.4     -4.10    -28.22    15.465      11692    0    0    0    0    0
1998  8  1 21 18  0    0    -2.81    -5.94     4.59    -429.4     -3.55    -26.06    16.545      12145    0    0    0    0    0
1998  8  1 21 19  0    0    -2.75    -5.77     4.72    -428.5     -3.71    -25.73    15.826      11766    0    0    0    0    0
1998  8  1 21 20  0    0    -2.73    -5.65     4.87    -428.2     -4.73    -25.63    15.527      11616    0    0    0    0    0
1998  8  1 21 21  0    0    -2.78    -4.77     5.85    -428.5     -5.25    -25.24    15.219      10889    0    0    0    0    0
1998  8  1 21 22  0    0    -2.90    -4.40     6.36    -430.7     -5.31    -24.73    14.712      10653    0    0    0    0    0
1998  8  1 21 23  0    0    -2.78    -3.82     6.50    -431.7     -5.50    -21.57    14.361      10628    0    0    0    0    0
1998  8  1 21 24  0    0    -2.70    -3.62     6.77    -432.8     -5.96    -15.42    12.915      10493    0    0    0    0    0
1998  8  1 21 25  0    0    -2.63    -3.64     6.78    -433.2     -6.94    -15.46    14.120      10493    0    0    0    0    0
1998  8  1 21 26  0    0    -2.70    -3.94     6.56    -433.2     -6.97    -15.79    14.120      10253    0    0    0    0    0
1998  8  1 21 27  0    0    -2.92    -4.63     6.02    -433.2     -6.99    -18.74    14.101       9774    0    0    0    0    0
1998  8  1 21 28  0    0    -3.13    -4.99     5.82    -432.7     -7.14    -24.30    13.788       9729    0    0    0    0    0
1998  8  1 21 29  0    0    -3.15    -4.99     5.82    -431.7     -7.39    -25.39    13.131       9627    0    0    0    0    0
1998  8  1 21 30  0    0    -3.23    -5.03     5.77    -431.5     -6.43    -24.84    13.551       9754    0    0    0    0    0
1998  8  1 21 31  0    0    -3.42    -5.32     5.43    -431.5     -6.32    -24.84    11.666       9687    0    0    0    0    0
1998  8  1 21 32  0    0    -3.46    -5.41     5.43    -431.3     -5.44    -24.70    13.212      10273    0    0    0    0    0
1998  8  1 21 33  0    0    -3.42    -5.40     5.45    -431.3     -5.22    -23.58    12.208       9675    0    0    0    0    0
1998  8  1 21 34  0    0    -3.46    -5.34     5.49    -431.1     -5.23    -24.78    12.187      10246    0    0    0    0    0
1998  8  1 21 35  0    0    -3.44    -5.25     5.51    -430.8     -5.38    -22.02    11.940       9070    0    0    0    0    0
1998  8  1 21 36  0    0    -3.44    -5.18     5.62    -431.0     -5.38    -23.88    11.952       9070    0    0    0    0    0
1998  8  1 21 37  0    0    -3.44    -5.17     5.62    -431.0     -5.37    -24.01    12.118       9070    0    0    0    0    0
1998  8  1 21 38  0    0    -3.48    -5.12     5.62    -431.2     -5.46    -25.81    12.180       9070    0    0    0    0    0
1998  8  1 21 39  0    0    -3.46    -5.06     5.63    -431.5     -6.47    -25.38    12.757       8941    0    0    0    0    0
1998  8  1 21 40  0    0    -3.27    -5.00     5.75    -432.2     -7.14    -22.37    12.430       8284    0    0    0    0    0
1998  8  1 21 41  0    0    -3.14    -4.99     5.81    -433.4     -7.54    -23.14    12.834       8780    0    0    0    0    0
1998  8  1 21 42  0    0    -3.07    -4.99     5.84    -433.6     -7.56    -24.52    12.586       8476    0    0    0    0    0
