Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	14	11	0  0	24.6
2024	05	10	14	12	0  0	24.8
2024	05	10	14	13	0  0	25.0
2024	05	10	14	14	0  0	25.0
2024	05	10	14	15	0  0	25.3
2024	05	10	14	16	0  0	25.7
2024	05	10	14	17	0  0	26.2
2024	05	10	14	18	0  0	26.4
2024	05	10	14	19	0  0	27.2
2024	05	10	14	20	0  0	27.3
2024	05	10	14	21	0  0	27.4
2024	05	10	14	22	0  0	27.6
2024	05	10	14	23	0  0	28.2
2024	05	10	14	24	0  0	28.4
2024	05	10	14	25	0  0	28.5
2024	05	10	14	26	0  0	28.4
2024	05	10	14	27	0  0	27.6
2024	05	10	14	28	0  0	27.3
2024	05	10	14	29	0  0	25.8
2024	05	10	14	30	0  0	24.1
2024	05	10	14	31	0  0	23.9
2024	05	10	14	32	0  0	23.5
2024	05	10	14	33	0  0	23.0
2024	05	10	14	34	0  0	23.3
2024	05	10	14	35	0  0	23.4
2024	05	10	14	36	0  0	23.6
2024	05	10	14	37	0  0	22.8
2024	05	10	14	38	0  0	22.3
2024	05	10	14	39	0  0	21.3
2024	05	10	14	40	0  0	20.4
2024	05	10	14	41	0  0	20.1
2024	05	10	14	42	0  0	19.5
2024	05	10	14	43	0  0	19.2
2024	05	10	14	44	0  0	19.0
2024	05	10	14	45	0  0	19.5
2024	05	10	14	46	0  0	20.1
2024	05	10	14	47	0  0	21.1
2024	05	10	14	48	0  0	22.2
2024	05	10	14	49	0  0	23.7
2024	05	10	14	50	0  0	24.3
2024	05	10	14	51	0  0	25.1
2024	05	10	14	52	0  0	27.0
2024	05	10	14	53	0  0	29.3
2024	05	10	14	54	0  0	31.2
2024	05	10	14	55	0  0	32.2
2024	05	10	14	56	0  0	34.2
2024	05	10	14	57	0  0	35.8
2024	05	10	14	58	0  0	38.1
2024	05	10	14	59	0  0	39.7
2024	05	10	15	00	0  0	41.8
2024	05	10	15	01	0  0	42.3
2024	05	10	15	02	0  0	42.3
2024	05	10	15	03	0  0	41.9
2024	05	10	15	04	0  0	41.3
2024	05	10	15	05	0  0	40.4
2024	05	10	15	06	0  0	39.9
2024	05	10	15	07	0  0	40.7
2024	05	10	15	08	0  0	40.8
2024	05	10	15	09	0  0	40.5
2024	05	10	15	10	0  0	39.6
2024	05	10	15	11	0  0	38.3
2024	05	10	15	12	0  0	37.3
2024	05	10	15	13	0  0	36.6
2024	05	10	15	14	0  0	34.8
2024	05	10	15	15	0  0	33.6
2024	05	10	15	16	0  0	33.1
2024	05	10	15	17	0  0	33.2
2024	05	10	15	18	0  0	33.4
2024	05	10	15	19	0  0	32.9
2024	05	10	15	20	0  0	34.1
2024	05	10	15	21	0  0	35.3
