Downloaded from SuperMag. SMR is renamed to dst_sm. All indexes are in nT.
year	month	day	hour	min	sec	SME	SML	SMU	dst_sm
2024	05	10	06	33	00	223	-79	144	24.0
2024	05	10	06	34	00	217	-78	139	24.5
2024	05	10	06	35	00	210	-74	136	24.9
2024	05	10	06	36	00	201	-69	132	25.2
2024	05	10	06	37	00	197	-68	129	25.4
2024	05	10	06	38	00	197	-71	126	25.4
2024	05	10	06	39	00	199	-75	124	25.5
2024	05	10	06	40	00	197	-75	122	25.5
2024	05	10	06	41	00	188	-73	115	25.6
2024	05	10	06	42	00	184	-70	114	26.0
2024	05	10	06	43	00	179	-65	114	26.5
2024	05	10	06	44	00	179	-62	117	26.8
2024	05	10	06	45	00	188	-60	128	27.4
2024	05	10	06	46	00	187	-52	135	27.9
2024	05	10	06	47	00	184	-47	136	28.6
2024	05	10	06	48	00	180	-47	133	29.0
2024	05	10	06	49	00	180	-48	132	29.1
2024	05	10	06	50	00	182	-47	135	29.1
2024	05	10	06	51	00	195	-51	143	29.5
2024	05	10	06	52	00	202	-54	147	30.0
2024	05	10	06	53	00	202	-55	147	30.1
2024	05	10	06	54	00	197	-49	147	30.1
2024	05	10	06	55	00	190	-43	147	30.3
2024	05	10	06	56	00	189	-46	144	29.8
2024	05	10	06	57	00	191	-49	142	29.2
2024	05	10	06	58	00	189	-56	133	28.8
2024	05	10	06	59	00	181	-56	126	29.0
2024	05	10	07	00	00	175	-52	122	29.9
2024	05	10	07	01	00	170	-61	110	29.5
2024	05	10	07	02	00	154	-50	104	29.2
2024	05	10	07	03	00	146	-49	97	29.5
2024	05	10	07	04	00	147	-50	98	29.7
2024	05	10	07	05	00	146	-50	96	29.9
2024	05	10	07	06	00	138	-40	98	29.9
2024	05	10	07	07	00	150	-57	93	29.9
2024	05	10	07	08	00	150	-55	95	30.1
2024	05	10	07	09	00	142	-49	93	30.4
2024	05	10	07	10	00	154	-68	87	30.0
2024	05	10	07	11	00	185	-89	96	29.0
2024	05	10	07	12	00	227	-133	94	28.9
2024	05	10	07	13	00	250	-151	99	29.1
2024	05	10	07	14	00	259	-160	99	28.6
2024	05	10	07	15	00	240	-146	94	27.8
2024	05	10	07	16	00	229	-127	102	26.5
2024	05	10	07	17	00	248	-131	116	25.4
2024	05	10	07	18	00	284	-161	123	25.4
2024	05	10	07	19	00	314	-205	109	25.6
2024	05	10	07	20	00	311	-212	100	26.2
2024	05	10	07	21	00	314	-202	111	27.2
2024	05	10	07	22	00	370	-243	127	27.8
2024	05	10	07	23	00	398	-255	143	28.0
2024	05	10	07	24	00	426	-264	163	28.2
2024	05	10	07	25	00	452	-278	173	29.2
2024	05	10	07	26	00	468	-291	176	29.3
2024	05	10	07	27	00	496	-325	172	28.8
2024	05	10	07	28	00	470	-290	179	29.0
2024	05	10	07	29	00	492	-298	194	28.6
2024	05	10	07	30	00	469	-269	200	27.8
2024	05	10	07	31	00	450	-241	209	27.4
2024	05	10	07	32	00	456	-235	222	26.9
2024	05	10	07	33	00	403	-223	180	26.5
2024	05	10	07	34	00	423	-236	188	26.7
2024	05	10	07	35	00	430	-235	195	26.6
2024	05	10	07	36	00	430	-240	190	26.4
2024	05	10	07	37	00	442	-257	185	26.1
2024	05	10	07	38	00	452	-262	189	26.2
2024	05	10	07	39	00	467	-275	192	26.0
2024	05	10	07	40	00	440	-257	183	25.6
2024	05	10	07	41	00	474	-296	177	25.1
2024	05	10	07	42	00	482	-314	168	25.1
2024	05	10	07	43	00	494	-317	177	25.1
2024	05	10	07	44	00	468	-298	169	25.4
2024	05	10	07	45	00	472	-308	163	25.5
2024	05	10	07	46	00	460	-298	162	25.5
2024	05	10	07	47	00	483	-310	173	25.6
2024	05	10	07	48	00	423	-255	168	25.5
2024	05	10	07	49	00	415	-248	167	25.3
2024	05	10	07	50	00	399	-237	161	25.0
2024	05	10	07	51	00	380	-227	153	24.8
