#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           ACE> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     AC>Advanced Composition Explorer
#     DATA_TYPE                       K0>5-Min Key Parameter [PRELIM]
#     DESCRIPTOR                      SWE>ACE Solar Wind Electron Proton Alpha Monitor
#     DATA_VERSION                    1
#     GENERATED_BY                    ACE Science Center
#     GENERATION_DATE                 20240516
#     TEXT                            SWEPAM - Solar Wind Electron Proton Alpha Monitor
#                                     References: http://www.srl.caltech.edu/ACE/
#                                     ACE browse data is designed for monitoring large scale particle and field
#                                     behavior and for selecting interesting time periods. The data is automatically
#                                     generated from the spacecraft data stream using simple algorithms provided by
#                                     the instrument teams. It is not routinely checked for accuracy and is subject
#                                     to revision. Use this data at your own risk, and consult with the appropriate
#                                     instrument teams about citing it.
#                                     SWEPAM Browse data is not validated by the experimenters and should not be used
#                                     except for preliminary examination prior to detailed studies.
#     MODS                            Initial Release 12/01/98
#     ADID_REF                        NSSD0327
#     LOGICAL_FILE_ID                 AC_K0_SWE_20240510_V01
#     LOGICAL_SOURCE                  AC_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      K0 - ACE Solar Wind Experiment 5-Minute Key Parameters [PRELIM]
#     PI_NAME                         D. J. McComas
#     PI_AFFILIATION                  Southwest Research Institute
#     MISSION_GROUP                   ACE
#                                     !___Interplanetary Data near 1 AU
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     TIME_RESOLUTION                 5 minutes
#     WEB_SITE                        http://www.srl.caltech.edu/ACE/
#     ACKNOWLEDGEMENT                 Please acknowledge the Principal
#                                     Investigator, D. J. McComas of
#                                     NASA LANL
#     RULES_OF_USE                    See the rules of use available from the ACE
#                                     Science Center at:
#                                     http://www.srl.caltech.edu/ACE/
#     ALT_LOGICAL_SOURCE              ACE_SWEPAM_Solar-Wind-Plasma-Key-Parameters-K0_5min_cdf
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ACE/SWEPAM/KeyParameter/PT5M
#     CDAWEB_PARENTS                  ac_k0_swe_00000000_v01
#                                     ac_k0_swe_20240510_v01, ac_k0_swe_20240511_v01
#                                     ac_k0_swe_20240512_v01, ac_k0_swe_20240513_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered
#  2. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Proton Number Density, scalar
#       NOTES:  Np is the proton number density in units of cm-3, as calculated by integrating the ion distribution function.
#  3. [PRELIMINARY VALUES - BROWSE USE ONLY] Solar Wind Bulk Speed
#       NOTES:  Vp is the solar wind proton speed, or more generally just the solar wind (bulk) speed. It is obtained by integrating the ion (proton) distribution function.
#  4. [PRELIMINARY VALUES - BROWSE USE ONLY] radial component of the proton temperature
#       NOTES:  The radial component of the proton temperature is the (1,1) component of the temperature tensor, along the radial direction. It is obtained by integration of the ion (proton) distribution function.
#
EPOCH                   [PRELIM]_SW_H_NUM_DENSITY [PRELIM]_SW_BULK_SPEED [PRELIM]_H_TEMP_(RADICAL)
dd-mm-yyyy hh:mm:ss.ms                       #/cc                   km/s                    Kelvin
10-05-2024 13:30:00.000                   2.86490                449.440                   93371.0
10-05-2024 13:35:00.000                   3.24460                454.800                   100984.
10-05-2024 13:40:00.000                   5.20210                450.780                   117297.
10-05-2024 13:45:00.000                   6.94400                452.210                   77411.0
10-05-2024 13:50:00.000                   8.77880                454.000                   71995.0
10-05-2024 13:55:00.000                   11.7964                456.460                   47287.0
10-05-2024 14:00:00.000                   11.8512                458.200                   46136.0
10-05-2024 14:05:00.000                   13.7806                459.780                   44469.0
10-05-2024 14:10:00.000                   13.5222                461.060                   44325.0
10-05-2024 14:15:00.000                   12.3255                460.560                   42500.0
10-05-2024 14:20:00.000                   10.7700                457.300                   47789.0
10-05-2024 14:25:00.000                   9.72460                455.680                   56390.0
10-05-2024 14:30:00.000                   8.98840                452.810                   61051.0
10-05-2024 14:35:00.000                   11.7342                452.100                   46854.0
10-05-2024 14:40:00.000                   12.6838                454.630                   43551.0
10-05-2024 14:45:00.000                   12.9560                457.080                   42490.0
10-05-2024 14:50:00.000                   13.2263                455.230                   43541.0
10-05-2024 14:55:00.000                   13.5312                453.480                   45032.0
10-05-2024 15:00:00.000                   13.5678                452.000                   43193.0
10-05-2024 15:05:00.000                   13.2295                448.020                   43554.0
10-05-2024 15:10:00.000                   13.5162                449.270                   44309.0
10-05-2024 15:15:00.000                   12.8019                447.510                   45477.0
10-05-2024 15:20:00.000                   11.6393                445.900                   42296.0
10-05-2024 15:25:00.000                   10.3718                445.330                   51183.0
10-05-2024 15:30:00.000                   6.68260                441.110                   60221.0
10-05-2024 15:35:00.000                   10.8602                449.030                   54402.0
10-05-2024 15:40:00.000                   14.0926                450.710                   58591.0
10-05-2024 15:45:00.000                   13.5543                447.310                   51426.0
10-05-2024 15:50:00.000                   15.1923                448.770                   49879.0
10-05-2024 15:55:00.000                   14.8510                452.300                   46003.0
10-05-2024 16:00:00.000                   12.0457                452.310                   43828.0
10-05-2024 16:05:00.000                   10.6249                461.130                   39453.0
10-05-2024 16:10:00.000                   7.03600                457.570                   25484.0
10-05-2024 16:15:00.000                   6.94120                456.840                   25526.0
10-05-2024 16:20:00.000                   9.05510                461.340                   30941.0
10-05-2024 16:25:00.000                   6.88960                459.460                   26900.0
10-05-2024 16:30:00.000                   7.26260                459.930                   27133.0
10-05-2024 16:35:00.000                   21.5354                558.030                   280071.
10-05-2024 16:40:00.000                   32.3559                652.360                   357772.
10-05-2024 16:45:00.000                   32.1970                677.730                   463260.
10-05-2024 16:50:00.000                   29.3411                705.630                   579714.
10-05-2024 16:55:00.000                   41.6769                688.910                   517662.
10-05-2024 17:00:00.000                   38.0019                685.460                   516685.
10-05-2024 17:05:00.000                   40.4309                669.100                   468067.
10-05-2024 17:10:00.000                   31.0440                673.630                   457589.
10-05-2024 17:15:00.000                   23.7114                684.110                   677479.
10-05-2024 17:20:00.000                   22.5038                695.120                   617702.
10-05-2024 17:25:00.000                   18.3016                708.300                   322789.
10-05-2024 17:30:00.000                   22.8054                699.000                   331595.
10-05-2024 17:35:00.000                   18.3407                692.470                   329894.
10-05-2024 17:40:00.000                   17.2156                696.760                   420495.
10-05-2024 17:45:00.000                   12.2424                690.760                   570372.
10-05-2024 17:50:00.000                   18.2076                700.030                   631767.
10-05-2024 17:55:00.000                   37.1476                688.660                   742970.
10-05-2024 18:00:00.000                   29.0109                702.070                   564125.
10-05-2024 18:05:00.000                   26.9621                713.590                   341204.
10-05-2024 18:10:00.000                   30.1776                705.190                   315001.
10-05-2024 18:15:00.000                   33.4633                697.960                   226671.
10-05-2024 18:20:00.000                   38.2572                703.390                   250605.
10-05-2024 18:25:00.000                   24.8850                639.480                   620009.
10-05-2024 18:30:00.000                   22.5736                648.300                   656096.
10-05-2024 18:35:00.000                   24.6552                656.630                   604933.
10-05-2024 18:40:00.000                   19.4618                651.060                   571309.
10-05-2024 18:45:00.000                   18.2877                661.360                   566762.
10-05-2024 18:50:00.000                   17.0446                654.880                   575338.
10-05-2024 18:55:00.000                   15.8558                650.570                   596442.
10-05-2024 19:00:00.000                   16.9386                672.200                   613589.
10-05-2024 19:05:00.000                   31.3591                698.370                   486493.
10-05-2024 19:10:00.000                   40.4857                705.240                   387034.
10-05-2024 19:15:00.000                   50.3524                710.950                   173880.
10-05-2024 19:20:00.000                   46.1061                712.990                   159437.
10-05-2024 19:25:00.000                   36.9257                701.720                   134743.
10-05-2024 19:30:00.000                   25.2399                677.020                   249362.
10-05-2024 19:35:00.000                   22.1038                680.510                   216281.
