DSCOVR

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10 10 24 18 644   -1.08   -0.59   -2.93  -429.2   -45.9   -77.3     5.42  126406.0  233.5
2024  5 10 10 25 20  51   -1.12   -0.99   -3.45  -429.1   -40.0   -79.4     5.20  127230.0  233.5
2024  5 10 10 26 14 431   -1.16   -1.16   -3.48  -429.8   -39.7   -85.9     5.25  137800.0  233.5
2024  5 10 10 27 19 347   -1.04   -1.25   -3.53  -429.2   -40.7   -81.9     5.29  129740.0  233.5
2024  5 10 10 28 24 280   -1.07   -1.24   -3.28  -428.5   -38.1   -71.9     5.50  126667.0  233.5
2024  5 10 10 29 24 986   -1.21   -1.21   -3.16  -428.3   -38.4   -77.7     5.66  126213.0  233.5
2024  5 10 10 30 28 520   -1.41   -1.28   -3.07  -427.8   -24.6   -48.5     5.44  126460.0  233.5
2024  5 10 10 31 26 398   -1.42   -1.07   -3.19  -428.2   -41.2   -76.1     5.05  127674.0  233.5
2024  5 10 10 32 29 936   -1.24   -1.68   -2.90  -427.7   -35.2   -76.3     5.70  121919.0  233.5
2024  5 10 10 33 29 228   -1.31   -1.49   -2.87  -427.7   -39.5   -71.7     5.47  127892.0  233.5
2024  5 10 10 34 17 941   -1.38   -1.61   -2.98  -429.3   -23.5   -47.5     5.10  132048.0  233.5
2024  5 10 10 35 17 941   -1.22   -1.60   -2.93  -429.3   -38.1   -80.4     5.25  122450.0  233.5
2024  5 10 10 36 16 536   -1.35   -1.53   -3.05  -429.6     0.6    -0.3     4.97  133986.0  233.5
2024  5 10 10 37 17 238   -1.64   -1.67   -2.69  -429.5     0.6    -0.4     4.80  131362.0  233.5
2024  5 10 10 38 15 834   -2.02   -2.18   -2.14  -429.7     0.6    -0.3     4.67  142055.0  233.5
2024  5 10 10 39  8 832   -2.43   -2.67   -1.88  -430.7     0.6    -0.4     4.26  151846.0  233.5
2024  5 10 10 39 53 541   -1.27   -2.15   -3.36  -432.8     0.6    -0.3     4.66  127289.0  233.5
2024  5 10 10 40 50  87   -1.06   -1.61   -3.79  -433.3     0.6    -0.3     4.51  131417.0  233.5
2024  5 10 10 41 54 924   -1.79   -2.13   -3.37  -432.7     0.6    -0.3     4.07  142095.0  233.5
2024  5 10 10 42 52 849   -1.94   -2.40   -3.08  -433.0     0.6    -0.3     4.14  146828.0  233.5
2024  5 10 10 43 45 951   -2.98   -1.43   -2.77  -442.8     0.6    -0.3     5.28  258839.0  233.5
2024  5 10 10 45  8 587   -1.18   -2.33   -3.63  -439.5     0.7    -0.4     3.83  135517.0  233.5
2024  5 10 10 45 59 224   -1.11   -2.42   -3.58  -440.8     0.7    -0.3     4.14  151549.0  233.5
2024  5 10 10 47 39  89   -1.69   -2.18   -3.54  -435.0     0.6    -0.3     3.70  141951.0  233.5
2024  5 10 10 48 18 684   -1.07   -2.47   -3.51  -438.0     0.6    -0.3     3.90  130897.0  233.5
2024  5 10 10 49 31 489   -2.17   -1.70   -3.64  -445.1     0.6    -0.4     5.31  272252.0  233.5
2024  5 10 10 51 15 227   -2.45   -1.26   -3.58  -447.6     0.6    -0.4     5.33  287277.0  233.5
2024  5 10 10 52 25 638   -2.64   -1.43   -3.48  -455.3     0.6    -0.4     6.83  382885.0  233.5
2024  5 10 10 55 34 303   -2.07   -1.45   -3.65  -435.7     0.6    -0.3     3.26  156360.0  233.5
2024  5 10 10 56 14 435   -2.43   -1.74   -3.17  -457.2     0.6    -0.4     6.87  383020.0  233.5
2024  5 10 10 58 40  17   -2.35   -1.42   -3.32  -443.7     0.6    -0.4     4.70  243856.0  233.5
2024  5 10 10 59 55 894   -2.21   -1.51   -3.36  -441.3     0.6    -0.4     4.41  248491.0  233.5
2024  5 10 11  1 27 492   -1.74   -1.62   -3.66  -436.7     0.6    -0.4     3.51  153801.0  233.5
2024  5 10 11  2  1 225   -2.08   -1.97   -3.37  -440.6     0.6    -0.4     4.54  246360.0  233.5
2024  5 10 11  2 34 763   -2.21   -1.85   -3.34  -444.6     0.6    -0.4     4.16  216886.0  233.5
2024  5 10 11  3 32 798   -2.48   -2.27   -2.93  -444.8     0.6    -0.4     4.28  215694.0  233.5
2024  5 10 11  5 29 532   -2.34   -2.28   -2.88  -436.3     0.6    -0.3     3.60  167197.0  233.5
2024  5 10 11  6 41 831   -2.04   -1.79   -3.14  -434.6     0.6    -0.4     3.68  157782.0  233.5
2024  5 10 11  7 47 330   -1.65   -2.20   -3.15  -433.7     0.6    -0.3     3.83  148972.0  233.5
2024  5 10 11  8 44 578   -1.96   -2.04   -3.12  -434.2     0.6    -0.4     3.59  154097.0  233.5
2024  5 10 11  9 45 266   -2.15   -1.69   -3.19  -434.1     0.6    -0.3     3.60  156778.0  233.5
2024  5 10 11 10 39  89   -2.11   -1.97   -3.10  -435.0     0.6    -0.4     3.45  156872.0  233.5
2024  5 10 11 11 45 953   -1.98   -1.95   -3.24  -434.0     0.6    -0.3     3.63  150542.0  233.5
2024  5 10 11 12 33 621   -2.52   -1.97   -2.82  -435.7     0.6    -0.4     3.53  167063.0  233.5
2024  5 10 11 13 39  89   -2.35   -1.92   -2.77  -435.0     0.6    -0.4     3.49  157292.0  233.5
2024  5 10 11 14 37 720   -2.21   -1.52   -3.30  -435.2     0.6    -0.4     3.48  159910.0  233.5
2024  5 10 11 15 39 774   -2.13   -1.94   -3.04  -434.8     0.6    -0.3     3.35  155567.0  233.5
2024  5 10 11 16 32 938   -1.92   -2.07   -3.25  -435.8     0.6    -0.4     3.66  151738.0  233.5
2024  5 10 11 17  1 707   -2.43   -1.45   -3.26  -449.7     0.6    -0.4     5.65  368453.0  233.5
2024  5 10 11 19 26 813   -2.15   -2.47   -2.78  -436.7     0.6    -0.4     3.22  154960.0  233.5
2024  5 10 11 20 23 421   -2.24   -1.95   -3.17  -437.2     0.6    -0.4     3.27  163830.0  233.5
2024  5 10 11 21 21 389   -1.96   -1.94   -3.38  -437.6     0.6    -0.4     3.10  159690.0  233.5
2024  5 10 11 22 19 360   -1.86   -1.99   -3.21  -437.8     0.6    -0.3     3.37  161946.0  233.5
2024  5 10 11 23 11 273   -2.01   -2.28   -3.03  -439.1     0.6    -0.4     3.05  169715.0  233.5
