EPOCH                          [PRELIM]_BX_GSE        [PRELIM]_BY_GSE        [PRELIM]_BZ_GSE
                                        (@_x_)                 (@_y_)                 (@_z_)
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
10-05-2024 16:20:00.000               -1.90600                2.90400                1.96600
10-05-2024 16:25:00.000               -2.33500                1.94900                1.42300
10-05-2024 16:30:00.000               -2.37600                2.02500                1.33300
10-05-2024 16:35:00.000               -1.52200                9.65000                1.04400
10-05-2024 16:40:00.000               -14.5570                21.2450               -7.90700
10-05-2024 16:45:00.000               -11.8420                6.31700               -20.5600
10-05-2024 16:50:00.000               -1.75900               -15.1630               -22.0340
10-05-2024 16:55:00.000               -2.19000               -13.7020               -14.8530
10-05-2024 17:00:00.000                8.83400               -11.5400               -21.3200
10-05-2024 17:05:00.000                7.59900               -16.8980               -9.04900
10-05-2024 17:10:00.000               -1.37000               -23.2330               -11.8850
10-05-2024 17:15:00.000               -6.39900               -13.1590               -14.2640
10-05-2024 17:20:00.000               -3.24800               -15.1370               -2.55100
10-05-2024 17:25:00.000               -18.4140               -32.8520               -18.9460
10-05-2024 17:30:00.000               -17.6140               -29.1170               -29.0800
10-05-2024 17:35:00.000               -16.9020               -9.92900               -43.4580
10-05-2024 17:40:00.000               -15.5840               -35.1160               -25.0500
10-05-2024 17:45:00.000               -12.0880               -47.6280               -14.1900
10-05-2024 17:50:00.000               -15.1740               -40.5090               -8.25300
10-05-2024 17:55:00.000                3.71900                6.54000               -1.41300
10-05-2024 18:00:00.000               -9.56900               -1.80900               -29.4750
10-05-2024 18:05:00.000               -22.9940               -14.2400               -39.8030
10-05-2024 18:10:00.000               -23.0320               -10.7000               -40.0250
10-05-2024 18:15:00.000               -25.8120               -13.8600               -38.5870
10-05-2024 18:20:00.000               -23.0410               -11.2400               -36.1930
10-05-2024 18:25:00.000                3.29500               -26.3690                4.33500
10-05-2024 18:30:00.000                2.65300               -33.3500                11.3490
10-05-2024 18:35:00.000               -3.34100               -28.8940                16.4200
10-05-2024 18:40:00.000               0.758000               -32.6130                15.1230
10-05-2024 18:45:00.000                6.53200               -33.6110                16.7890
10-05-2024 18:50:00.000                1.69200               -37.8520                8.02200
10-05-2024 18:55:00.000               -3.40000               -39.8850                2.09200
10-05-2024 19:00:00.000                2.60400               -34.9090                13.9510
10-05-2024 19:05:00.000               0.314000               -18.5440                7.41200
10-05-2024 19:10:00.000               -10.9340               -25.3600               -6.28000
10-05-2024 19:15:00.000               -16.5580               -35.6780               -8.72200
10-05-2024 19:20:00.000               -18.5740               -33.8980               -15.9960
10-05-2024 19:25:00.000               -22.4240               -27.7820               -22.0160
10-05-2024 19:30:00.000               -22.7130               -17.1350               -32.7760
10-05-2024 19:35:00.000               -23.5830               -1.48000               -36.8860
10-05-2024 19:40:00.000               -23.8860                10.6150               -29.2740
10-05-2024 19:45:00.000               -16.3320                3.15800               -30.5030
10-05-2024 19:50:00.000               -12.2480               -1.48100               -28.2340
10-05-2024 19:55:00.000               -13.7510                12.8030               -25.1810
10-05-2024 20:00:00.000               -14.8500               -1.19300               -19.2780
10-05-2024 20:05:00.000               -14.7220               -7.68200               -24.2000
10-05-2024 20:10:00.000               -14.6630               -7.97500               -27.8560
10-05-2024 20:15:00.000               -14.1200               -9.46700               -24.5200
10-05-2024 20:20:00.000               -15.1480               -8.81200               -25.3440
10-05-2024 20:25:00.000               -19.4070               -17.1620               -29.2700
10-05-2024 20:30:00.000               -16.8360               -24.8210               -26.2050
10-05-2024 20:35:00.000               -20.9540               -10.5230               -36.3340
10-05-2024 20:40:00.000               -18.7990                7.58500               -40.2560
10-05-2024 20:45:00.000               -17.1130               -16.4720               -32.7360
10-05-2024 20:50:00.000               -21.2080               -22.0300               -31.9430
10-05-2024 20:55:00.000               -21.7040               -20.1020               -32.8160
10-05-2024 21:00:00.000               -21.3470               -19.4220               -33.5230
10-05-2024 21:05:00.000               -20.4390               -17.2230               -35.1840
10-05-2024 21:10:00.000               -21.3620               -3.21900               -42.6720
10-05-2024 21:15:00.000               -25.7430               -10.7410               -41.1210
10-05-2024 21:20:00.000               -26.6350               -19.0660               -36.4930
10-05-2024 21:25:00.000               -22.6740               -27.9360               -31.8510
10-05-2024 21:30:00.000               -9.51600               -48.5810               -10.9370
10-05-2024 21:35:00.000               -8.56600               -48.8570               -13.2850
10-05-2024 21:40:00.000               -11.9320               -66.3940               -14.8420
10-05-2024 21:45:00.000               -11.2090               -68.0000               -16.9570
10-05-2024 21:50:00.000               -12.3220               -67.0420               -21.7430
10-05-2024 21:55:00.000               -9.60000               -69.6780                10.5650
10-05-2024 22:00:00.000               -6.30300               -49.0370                22.5950
10-05-2024 22:05:00.000                1.77900                57.1860                35.7070
10-05-2024 22:10:00.000                10.7990                66.8110                10.6380
10-05-2024 22:15:00.000                6.80700                66.5060               -6.79800
10-05-2024 22:20:00.000                2.44600                67.2950               -21.8050
10-05-2024 22:25:00.000               -1.79300                67.5340               -22.1960
10-05-2024 22:30:00.000               0.738000                67.6290               -16.3640
10-05-2024 22:35:00.000              -0.705000                66.9970               -19.0670
10-05-2024 22:40:00.000               -3.88100                63.4670               -32.2050
10-05-2024 22:45:00.000               -3.99000                68.2720               -24.4010
10-05-2024 22:50:00.000               -7.23800                64.7290               -31.2870
10-05-2024 22:55:00.000               -9.12300                63.9890               -32.5790
10-05-2024 23:00:00.000               -7.29200                65.5070               -32.3980
10-05-2024 23:05:00.000               -8.56400                63.1950               -33.6760
10-05-2024 23:10:00.000               -7.32700                58.3630               -34.0260
10-05-2024 23:15:00.000               -12.0550                54.5620               -43.8010
10-05-2024 23:20:00.000               -12.1620                50.1730               -47.3540
10-05-2024 23:25:00.000               -16.3860                44.1470               -52.2070
10-05-2024 23:30:00.000               -17.5780                41.4690               -52.6540
10-05-2024 23:35:00.000               -19.8770                37.7160               -53.3520
10-05-2024 23:40:00.000               -7.24800                40.1360               -49.5260
10-05-2024 23:45:00.000               -15.5740                25.0970               -48.2590
10-05-2024 23:50:00.000               -13.2170                13.2490               -46.2880
10-05-2024 23:55:00.000              -0.532000                26.7630               -25.8820
11-05-2024 00:00:00.000               -8.38100                11.7890               -36.2830
11-05-2024 00:05:00.000               -13.3030                2.77100               -48.3660
11-05-2024 00:10:00.000               -17.1200               -2.69800               -43.0850
11-05-2024 00:15:00.000               -15.4800               -5.36700               -40.9190
11-05-2024 00:20:00.000               -16.2980              -0.278000               -44.9830
11-05-2024 00:25:00.000               -17.0810              -0.923000               -47.6790
11-05-2024 00:30:00.000               -18.5630               -5.89000               -45.6770
11-05-2024 00:35:00.000               -4.19300                4.90900               -48.5010
11-05-2024 00:40:00.000               -15.0710               -7.25900               -45.7080
11-05-2024 00:45:00.000               -18.9570               -23.7650               -42.1210
11-05-2024 00:50:00.000               -11.0760               -42.9600               -20.2620
11-05-2024 00:55:00.000               -10.1330               -50.5140               -7.60100
11-05-2024 01:00:00.000               -27.7030               -29.3720               -13.7980
11-05-2024 01:05:00.000               -19.9570               -39.1120               -8.45100
11-05-2024 01:10:00.000               -19.6960               -40.6820              -0.417000
11-05-2024 01:15:00.000               -20.0880               -37.7210                3.42400
11-05-2024 01:20:00.000               -16.4000               -12.4680               -10.8160
11-05-2024 01:25:00.000               -15.8480               -12.4760               -4.46800
11-05-2024 01:30:00.000               -3.71500               -6.79200               -16.4670
11-05-2024 01:35:00.000               -7.13300                2.44100               -29.7950
11-05-2024 01:40:00.000               -4.79600              -0.897000               -32.2980
11-05-2024 01:45:00.000               -1.02100                3.42900               -30.1260
11-05-2024 01:50:00.000                1.67200                5.89300               -31.6150
11-05-2024 01:55:00.000                5.51500                5.15900               -30.5870
11-05-2024 02:00:00.000                6.19600               -2.27300               -27.4140
11-05-2024 02:05:00.000                3.24200               -5.75300               -25.1240
11-05-2024 02:10:00.000                1.88400               -13.1600               -20.5340
11-05-2024 02:15:00.000               -2.81000               -7.85600               -15.5150
11-05-2024 02:20:00.000               -9.12700               -15.0340               -13.7380
11-05-2024 02:25:00.000               -10.7170               -27.4190               -3.10900
11-05-2024 02:30:00.000               -8.43800               -27.0820               -13.1450
11-05-2024 02:35:00.000               -4.72600               -23.9960               -20.4540
11-05-2024 02:40:00.000               -10.0850               -22.6290               -21.7050
11-05-2024 02:45:00.000               -10.8510               -24.5880               -23.2110
11-05-2024 02:50:00.000               -10.9330               -26.5190               -23.3700
11-05-2024 02:55:00.000               -11.0920               -27.3550               -23.7710
11-05-2024 03:00:00.000               -13.8590               -28.4580               -21.3210
11-05-2024 03:05:00.000               -11.9590               -28.6150               -22.5010
11-05-2024 03:10:00.000               -11.2650               -28.6260               -23.4670
11-05-2024 03:15:00.000               -9.70200               -28.4350               -24.7120
11-05-2024 03:20:00.000               -8.51600               -29.3900               -24.6880
11-05-2024 03:25:00.000               -9.74300               -28.3480               -25.8270
11-05-2024 03:30:00.000               -11.1890               -31.6320               -21.4710
11-05-2024 03:35:00.000               -12.4230               -32.0900               -19.7860
11-05-2024 03:40:00.000               -13.1410               -33.0560               -16.2000
11-05-2024 03:45:00.000               -14.0090               -34.6050               -11.0370
11-05-2024 03:50:00.000               -14.9410               -36.4240               -5.92300
11-05-2024 03:55:00.000               -12.8810               -35.4220                7.28700
11-05-2024 04:00:00.000               -14.6830               -35.7720                6.58000
11-05-2024 04:05:00.000               -14.0000               -32.8460                10.7510
11-05-2024 04:10:00.000               -11.7280               -26.3430                21.1550
11-05-2024 04:15:00.000               -14.0880               -28.2110                16.5910
11-05-2024 04:20:00.000               -13.8200               -30.8610                17.0950
11-05-2024 04:25:00.000               -11.5180               -30.8750                19.4410
11-05-2024 04:30:00.000               -10.6470               -31.7820                17.9760
11-05-2024 04:35:00.000               -14.4570               -32.5250                12.3550
11-05-2024 04:40:00.000               -11.9520               -31.8960                14.9490
11-05-2024 04:45:00.000               -9.42900               -31.4850                18.3720
11-05-2024 04:50:00.000               -12.4770               -33.9150                11.2510
11-05-2024 04:55:00.000               -11.0360               -36.3830                8.02000
11-05-2024 05:00:00.000               -10.2340               -38.4820                3.45300
11-05-2024 05:05:00.000               -7.23000               -39.3510               -2.85000
11-05-2024 05:10:00.000               -14.8400               -32.3820                5.44300
11-05-2024 05:15:00.000               -16.3980               -27.1510                10.5510
11-05-2024 05:20:00.000               -24.4200               -21.1640                18.4270
11-05-2024 05:25:00.000               -21.4790               -30.1930                11.4120
11-05-2024 05:30:00.000               -22.4700               -27.4720                3.61600
11-05-2024 05:35:00.000               -13.4190               -18.5770                5.18000
11-05-2024 05:40:00.000               -11.2690               -13.6700               -22.8380
11-05-2024 05:45:00.000               -14.1420               -11.6980               -25.8150
11-05-2024 05:50:00.000               -13.5350               -8.82600               -27.2150
11-05-2024 05:55:00.000               -18.2140               -8.00100               -25.7940
11-05-2024 06:00:00.000               -21.5330               -9.09200               -22.9430
11-05-2024 06:05:00.000               -22.0230               -13.0600               -18.4010
11-05-2024 06:10:00.000               -9.86700                3.37200               -34.8710
11-05-2024 06:15:00.000               -10.0200                1.55800               -37.2880
11-05-2024 06:20:00.000               -4.71500                5.81800               -38.5220
11-05-2024 06:25:00.000               -8.01100                8.88400               -38.5050
11-05-2024 06:30:00.000               -7.54500                16.3190               -39.3600
11-05-2024 06:35:00.000               -17.4420                12.5810               -37.6800
11-05-2024 06:40:00.000               -21.0320                19.9560               -32.6300
11-05-2024 06:45:00.000               -17.2080                25.1570               -31.0410
11-05-2024 06:50:00.000               -6.67100                28.2410               -29.3590
11-05-2024 06:55:00.000               -1.76700                34.6880               -23.8840
11-05-2024 07:00:00.000               -1.51500                36.0280               -16.7100
11-05-2024 07:05:00.000                1.80900                39.5920               0.813000
11-05-2024 07:10:00.000                1.42400                34.8840                2.54800
11-05-2024 07:15:00.000                1.65700                33.7430                4.64200
11-05-2024 07:20:00.000                2.13800                32.5440                6.35100
11-05-2024 07:25:00.000               -2.92500                22.1370               -9.14000
11-05-2024 07:30:00.000              -0.639000               -2.57800               -25.9180
