Created with imf_median.pro
Median of IMF_ballistic_WIND_bad.dat, IMF_ballistic_ACE.dat, IMF_ballistic_DSCOVER_bad.dat
Units: nT, km/s, K

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10 10 50  9 464      -1.70      -1.65      -3.16    -422.10       0.60      -0.40       4.31   70999.29     233.50
2024  5 10 10 51  7 358      -1.69      -1.49      -3.18    -422.40       0.60      -0.40       4.21   71382.74     233.50
2024  5 10 10 52 11 623      -1.89      -1.57      -2.81    -421.80       0.60      -0.40       4.09   71612.19     233.50
2024  5 10 10 53 48 998      -2.15      -1.74      -2.29    -416.20       0.60      -0.36       3.85   84076.50     233.50
2024  5 10 10 55 12 602      -2.14      -1.60      -2.50    -412.70       0.60      -0.31       3.67   98801.40     233.50
2024  5 10 10 56 23 952      -2.23      -1.72      -3.18    -412.37       0.60      -0.40       3.66  102466.50     233.50
2024  5 10 10 57  6  47      -2.29      -1.63      -3.22    -413.70       0.60      -0.40       3.77   99978.60     233.50
2024  5 10 10 57 35  78      -2.32      -1.56      -3.25    -418.20       0.60      -0.40       3.95   94724.30     233.50
2024  5 10 10 58  4 787      -2.36      -1.50      -3.28    -422.80       0.60      -0.40       4.14   89611.80     233.50
2024  5 10 10 58 50 164      -2.32      -1.43      -3.19    -425.10       0.60      -0.40       4.00   79029.80     233.50
2024  5 10 10 59 53 181      -2.22      -2.09      -3.32    -424.60       0.60      -0.40       3.49   63248.70     233.50
2024  5 10 11  0 48  20      -1.94      -2.41      -3.44    -425.40       0.60      -0.40       3.30   55572.50     233.50
2024  5 10 11  1 41 925      -1.89      -2.37      -3.34    -426.40       0.60      -0.40       3.23   59922.87     233.50
2024  5 10 11  2 48 745      -2.17      -2.17      -3.24    -425.30       0.60      -0.40       3.30   71711.96     233.50
2024  5 10 11  3 55 608      -2.29      -2.27      -2.92    -424.20       0.60      -0.38       3.38   79188.71     233.50
2024  5 10 11  5  2 496      -1.91      -2.23      -3.45    -423.20       0.60      -0.32       3.45   76093.84     233.50
2024  5 10 11  6  9 419      -1.94      -2.01      -3.34    -422.10       0.60      -0.36       3.53   71056.62     233.50
2024  5 10 11  7 15 371      -1.84      -2.39      -3.15    -421.20       0.60      -0.35       3.58   74489.79     233.50
2024  5 10 11  8 10 478      -1.78      -2.46      -3.31    -422.00       0.60      -0.34       3.42   58741.10     233.50
2024  5 10 11  9 11 393      -2.04      -2.38      -3.32    -421.80       0.60      -0.36       3.34   59181.60     233.50
2024  5 10 11 10 20 680      -2.05      -2.29      -3.33    -420.40       0.60      -0.37       3.36   62373.20     233.50
2024  5 10 11 11 15  82      -2.04      -1.96      -3.31    -421.30       0.60      -0.35       3.33   62133.30     233.50
2024  5 10 11 11 59 907      -2.14      -1.96      -3.41    -423.60       0.60      -0.33       3.28   63371.56     233.50
2024  5 10 11 12 53 662      -2.44      -2.06      -3.26    -424.60       0.60      -0.40       3.16   66920.65     233.50
2024  5 10 11 13 57 699      -2.27      -2.35      -3.10    -423.90       0.60      -0.40       3.14   55121.90     233.50
