MIDL 32Re Data for 2024-05 (GSM nT, km/s, cm^-3, K)
year month day hour minute Bx By Bz Ux Uy Uz rho T B_interp Ux_interp Uyz_interp rho_interp T_interp
#START
2024  5 10  3 30    -2.17    -2.20    -4.95    -428.9      0.78    -13.52    10.362      27642    0    0    0    0    0
2024  5 10  3 31    -2.08    -2.48    -4.94    -427.5     -0.97    -13.00    10.255      27385    0    0    0    0    0
2024  5 10  3 32    -1.93    -2.87    -4.90    -425.8     -1.50     -8.79    10.229      27198    0    1    1    1    1
2024  5 10  3 33    -1.87    -2.98    -4.91    -425.8     -0.92     -8.25    10.199      27032    0    1    1    1    1
2024  5 10  3 34    -1.93    -2.85    -5.13    -428.7     -0.24     -9.17    10.169      28003    0    1    1    1    1
2024  5 10  3 35    -2.64    -2.09    -5.17    -430.5     -2.29    -10.83    10.045      28897    0    1    1    1    1
2024  5 10  3 36    -3.39    -1.19    -5.17    -430.7     -2.62    -11.23    10.037      28951    0    1    1    1    1
2024  5 10  3 37    -2.95    -1.81    -5.17    -430.8     -2.60     -9.79     9.820      28951    0    1    1    1    1
2024  5 10  3 38    -2.56    -2.36    -5.12    -430.5     -3.27    -10.32     9.333      29715    0    0    0    0    0
2024  5 10  3 39    -2.04    -2.85    -5.05    -430.0     -4.17    -11.54    10.056      29938    0    0    0    0    0
2024  5 10  3 40    -1.53    -3.39    -5.20    -429.6     -4.36    -13.33    10.159      28938    0    0    0    0    0
2024  5 10  3 41    -1.37    -3.58    -5.24    -429.2     -4.25    -14.60     9.839      27781    0    0    0    0    0
2024  5 10  3 42    -1.37    -3.57    -5.23    -428.6     -4.30    -14.97     9.751      27057    0    1    1    1    1
2024  5 10  3 43    -1.37    -3.58    -5.24    -427.7     -4.65    -14.94     9.745      26794    0    1    1    1    1
2024  5 10  3 44    -1.36    -3.60    -5.26    -427.2     -4.83    -14.76     9.674      26793    0    1    1    1    1
2024  5 10  3 45    -1.21    -3.60    -5.27    -427.1     -4.69    -14.49     9.619      25680    0    1    1    1    1
2024  5 10  3 46    -0.99    -3.57    -5.23    -426.6     -4.83    -14.19     9.630      24014    0    1    1    1    1
2024  5 10  3 47    -1.03    -3.49    -5.14    -425.9     -4.84    -13.84     9.778      24642    0    0    1    1    1
2024  5 10  3 48    -1.20    -3.42    -5.03    -426.0     -4.51    -13.51    10.160      26291    0    0    1    1    1
2024  5 10  3 49    -1.24    -3.41    -5.10    -425.9     -4.17    -13.35    10.363      26291    0    0    1    1    1
2024  5 10  3 50    -1.17    -3.43    -5.11    -426.1     -4.22    -13.18    10.345      25788    0    1    1    1    1
2024  5 10  3 51    -1.01    -3.46    -5.08    -426.3     -4.60    -13.50    10.345      24641    0    1    1    1    1
2024  5 10  3 52    -1.04    -3.46    -5.05    -426.2     -5.45    -14.60    10.351      25403    0    1    1    1    1
2024  5 10  3 53    -1.18    -3.41    -5.04    -426.3     -5.75    -15.10    10.365      28237    0    0    0    0    0
2024  5 10  3 54    -1.16    -3.32    -4.93    -426.5     -5.18    -15.29    10.558      30746    0    0    0    0    0
2024  5 10  3 55    -1.03    -3.28    -4.80    -426.5     -3.64    -15.79    11.115      30746    0    0    0    0    0
2024  5 10  3 56    -0.89    -3.29    -4.73    -426.5     -2.84    -15.87    11.490      31413    0    0    0    0    0
2024  5 10  3 57    -0.81    -3.33    -4.67    -426.5     -2.84    -15.54    11.602      33217    0    1    1    1    1
