SWEPAM 64-second Averaged Solar Wind Ion Parameters (GSE, /cc, K, km/s, km)
year doy hr min sec rho T ux uy uz x y z
2017 147  3 30 33.000  -9999.900  1.5395e+04   -292.59    -12.35      4.03  1.5893e+06 -4.7887e+04  1.4221e+05
2017 147  3 31 37.000  -9999.900  1.6459e+04   -294.25    -10.25      4.51  1.5893e+06 -4.7893e+04  1.4221e+05
2017 147  3 32 41.000  -9999.900  1.5751e+04   -294.87     -8.45      4.65  1.5893e+06 -4.7899e+04  1.4221e+05
2017 147  3 33 45.000  -9999.900  1.3225e+04   -294.18     -9.64      4.72  1.5893e+06 -4.7904e+04  1.4221e+05
2017 147  3 34 49.000  -9999.900  1.4918e+04   -294.69     -8.46      3.94  1.5893e+06 -4.7910e+04  1.4221e+05
2017 147  3 35 53.000  -9999.900  1.3608e+04   -293.72     -8.89      5.12  1.5893e+06 -4.7916e+04  1.4222e+05
2017 147  3 36 57.000  -9999.900  1.6033e+04   -294.70     -9.75      5.43  1.5893e+06 -4.7922e+04  1.4222e+05
2017 147  3 38  1.000  -9999.900  1.5304e+04   -294.64     -9.38      5.16  1.5893e+06 -4.7927e+04  1.4222e+05
2017 147  3 39  5.000  -9999.900  1.7315e+04   -294.42    -11.37      4.77  1.5893e+06 -4.7933e+04  1.4222e+05
2017 147  3 40  9.000  -9999.900  1.7628e+04   -295.89     -8.72      5.04  1.5893e+06 -4.7939e+04  1.4222e+05
