Sym-H and AL  obtained from Kyoto WDC for SWPC Event 3.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
2001 08 31 01 36 00 000  -10.00  -147.00
2001 08 31 01 37 00 000  -10.00  -145.00
2001 08 31 01 38 00 000  -10.00  -142.00
2001 08 31 01 39 00 000   -9.00  -143.00
2001 08 31 01 40 00 000   -9.00  -146.00
2001 08 31 01 41 00 000  -10.00  -144.00
2001 08 31 01 42 00 000   -9.00  -138.00
2001 08 31 01 43 00 000   -7.00  -147.00
2001 08 31 01 44 00 000   -5.00  -167.00
2001 08 31 01 45 00 000   -4.00  -181.00
2001 08 31 01 46 00 000   -3.00  -187.00
2001 08 31 01 47 00 000   -3.00  -193.00
2001 08 31 01 48 00 000   -3.00  -191.00
2001 08 31 01 49 00 000   -4.00  -177.00
2001 08 31 01 50 00 000   -5.00  -171.00
2001 08 31 01 51 00 000   -5.00  -169.00
2001 08 31 01 52 00 000   -5.00  -174.00
2001 08 31 01 53 00 000   -5.00  -173.00
2001 08 31 01 54 00 000   -5.00  -162.00
2001 08 31 01 55 00 000   -6.00  -161.00
2001 08 31 01 56 00 000   -6.00  -157.00
2001 08 31 01 57 00 000   -6.00  -156.00
2001 08 31 01 58 00 000   -7.00  -157.00
2001 08 31 01 59 00 000   -7.00  -164.00
2001 08 31 02 00 00 000   -7.00  -168.00
2001 08 31 02 01 00 000   -7.00  -160.00
2001 08 31 02 02 00 000   -7.00  -164.00
2001 08 31 02 03 00 000   -7.00  -173.00
2001 08 31 02 04 00 000   -7.00  -179.00
2001 08 31 02 05 00 000   -7.00  -186.00
2001 08 31 02 06 00 000   -7.00  -187.00
2001 08 31 02 07 00 000   -8.00  -189.00
2001 08 31 02 08 00 000   -8.00  -181.00
2001 08 31 02 09 00 000   -8.00  -171.00
2001 08 31 02 10 00 000   -8.00  -168.00
2001 08 31 02 11 00 000   -8.00  -166.00
2001 08 31 02 12 00 000   -9.00  -169.00
2001 08 31 02 13 00 000   -9.00  -174.00
2001 08 31 02 14 00 000   -9.00  -163.00
2001 08 31 02 15 00 000  -10.00  -148.00
2001 08 31 02 16 00 000  -10.00  -144.00
2001 08 31 02 17 00 000  -10.00  -153.00
2001 08 31 02 18 00 000  -10.00  -154.00
2001 08 31 02 19 00 000  -11.00  -158.00
2001 08 31 02 20 00 000  -11.00  -152.00
2001 08 31 02 21 00 000  -11.00  -160.00
2001 08 31 02 22 00 000  -10.00  -176.00
2001 08 31 02 23 00 000  -10.00  -188.00
2001 08 31 02 24 00 000  -10.00  -192.00
2001 08 31 02 25 00 000  -10.00  -197.00
2001 08 31 02 26 00 000   -9.00  -202.00
2001 08 31 02 27 00 000   -9.00  -201.00
2001 08 31 02 28 00 000   -9.00  -201.00
2001 08 31 02 29 00 000   -9.00  -205.00
2001 08 31 02 30 00 000   -9.00  -201.00
2001 08 31 02 31 00 000   -9.00  -210.00
2001 08 31 02 32 00 000  -10.00  -219.00
2001 08 31 02 33 00 000  -10.00  -222.00
2001 08 31 02 34 00 000  -10.00  -234.00
2001 08 31 02 35 00 000  -10.00  -235.00
2001 08 31 02 36 00 000  -10.00  -221.00
2001 08 31 02 37 00 000  -10.00  -209.00
2001 08 31 02 38 00 000  -11.00  -214.00
2001 08 31 02 39 00 000  -11.00  -218.00
2001 08 31 02 40 00 000  -10.00  -212.00
2001 08 31 02 41 00 000  -10.00  -204.00
2001 08 31 02 42 00 000  -10.00  -197.00
2001 08 31 02 43 00 000  -10.00  -196.00
2001 08 31 02 44 00 000  -10.00  -190.00
2001 08 31 02 45 00 000   -9.00  -195.00
2001 08 31 02 46 00 000   -9.00  -200.00
2001 08 31 02 47 00 000   -9.00  -220.00
2001 08 31 02 48 00 000   -9.00  -260.00
2001 08 31 02 49 00 000   -9.00  -237.00
2001 08 31 02 50 00 000   -9.00  -239.00
2001 08 31 02 51 00 000  -10.00  -247.00
2001 08 31 02 52 00 000  -10.00  -280.00
2001 08 31 02 53 00 000  -10.00  -276.00
2001 08 31 02 54 00 000  -10.00  -280.00
2001 08 31 02 55 00 000   -9.00  -301.00
2001 08 31 02 56 00 000   -9.00  -303.00
2001 08 31 02 57 00 000   -9.00  -297.00
2001 08 31 02 58 00 000   -9.00  -297.00
2001 08 31 02 59 00 000   -9.00  -312.00
2001 08 31 03 00 00 000   -9.00  -294.00
2001 08 31 03 01 00 000   -9.00  -288.00
2001 08 31 03 02 00 000   -9.00  -308.00
2001 08 31 03 03 00 000   -9.00  -315.00
2001 08 31 03 04 00 000   -9.00  -323.00
2001 08 31 03 05 00 000   -8.00  -328.00
2001 08 31 03 06 00 000   -8.00  -318.00
2001 08 31 03 07 00 000   -8.00  -302.00
2001 08 31 03 08 00 000   -9.00  -292.00
2001 08 31 03 09 00 000   -8.00  -288.00
2001 08 31 03 10 00 000   -8.00  -281.00
2001 08 31 03 11 00 000   -8.00  -274.00
2001 08 31 03 12 00 000   -8.00  -269.00
2001 08 31 03 13 00 000   -8.00  -263.00
2001 08 31 03 14 00 000   -8.00  -265.00
2001 08 31 03 15 00 000   -8.00  -263.00
2001 08 31 03 16 00 000   -8.00  -266.00
2001 08 31 03 17 00 000   -8.00  -263.00
2001 08 31 03 18 00 000   -7.00  -256.00
2001 08 31 03 19 00 000   -7.00  -251.00
2001 08 31 03 20 00 000   -7.00  -252.00
2001 08 31 03 21 00 000   -7.00  -256.00
2001 08 31 03 22 00 000   -7.00  -255.00
2001 08 31 03 23 00 000   -7.00  -261.00
2001 08 31 03 24 00 000   -8.00  -256.00
2001 08 31 03 25 00 000   -8.00  -251.00
2001 08 31 03 26 00 000   -8.00  -274.00
2001 08 31 03 27 00 000   -8.00  -279.00
2001 08 31 03 28 00 000   -8.00  -285.00
2001 08 31 03 29 00 000   -8.00  -274.00
2001 08 31 03 30 00 000   -8.00  -269.00
2001 08 31 03 31 00 000   -8.00  -266.00
2001 08 31 03 32 00 000   -8.00  -277.00
2001 08 31 03 33 00 000   -8.00  -280.00
2001 08 31 03 34 00 000   -8.00  -273.00
2001 08 31 03 35 00 000   -8.00  -264.00
2001 08 31 03 36 00 000   -8.00  -255.00
2001 08 31 03 37 00 000   -9.00  -248.00
2001 08 31 03 38 00 000   -9.00  -237.00
2001 08 31 03 39 00 000   -9.00  -227.00
2001 08 31 03 40 00 000  -10.00  -224.00
2001 08 31 03 41 00 000  -10.00  -225.00
2001 08 31 03 42 00 000  -10.00  -226.00
2001 08 31 03 43 00 000  -10.00  -222.00
2001 08 31 03 44 00 000  -11.00  -214.00
2001 08 31 03 45 00 000  -11.00  -193.00
2001 08 31 03 46 00 000  -10.00  -182.00
2001 08 31 03 47 00 000  -10.00  -194.00
2001 08 31 03 48 00 000  -11.00  -202.00
2001 08 31 03 49 00 000  -11.00  -195.00
2001 08 31 03 50 00 000  -11.00  -187.00
2001 08 31 03 51 00 000  -10.00  -180.00
2001 08 31 03 52 00 000  -10.00  -186.00
2001 08 31 03 53 00 000  -10.00  -199.00
2001 08 31 03 54 00 000  -11.00  -201.00
2001 08 31 03 55 00 000  -10.00  -199.00
2001 08 31 03 56 00 000  -10.00  -198.00
2001 08 31 03 57 00 000  -11.00  -214.00
