Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 06 03 00 000  -20.00   -32.00
1998 07 07 06 04 00 000  -20.00   -34.00
1998 07 07 06 05 00 000  -19.00   -31.00
1998 07 07 06 06 00 000  -19.00   -24.00
1998 07 07 06 07 00 000  -19.00   -25.00
1998 07 07 06 08 00 000  -19.00   -28.00
1998 07 07 06 09 00 000  -19.00   -26.00
1998 07 07 06 10 00 000  -19.00   -24.00
1998 07 07 06 11 00 000  -20.00   -31.00
1998 07 07 06 12 00 000  -20.00   -29.00
1998 07 07 06 13 00 000  -20.00   -36.00
1998 07 07 06 14 00 000  -21.00   -36.00
1998 07 07 06 15 00 000  -20.00   -32.00
1998 07 07 06 16 00 000  -20.00   -30.00
1998 07 07 06 17 00 000  -20.00   -30.00
1998 07 07 06 18 00 000  -19.00   -25.00
1998 07 07 06 19 00 000  -20.00   -19.00
1998 07 07 06 20 00 000  -19.00   -17.00
1998 07 07 06 21 00 000  -19.00   -20.00
1998 07 07 06 22 00 000  -20.00   -24.00
1998 07 07 06 23 00 000  -20.00   -23.00
1998 07 07 06 24 00 000  -21.00   -23.00
1998 07 07 06 25 00 000  -21.00   -22.00
1998 07 07 06 26 00 000  -21.00   -23.00
1998 07 07 06 27 00 000  -21.00   -23.00
1998 07 07 06 28 00 000  -21.00   -25.00
1998 07 07 06 29 00 000  -21.00   -29.00
1998 07 07 06 30 00 000  -20.00   -25.00
1998 07 07 06 31 00 000  -20.00   -16.00
1998 07 07 06 32 00 000  -20.00   -18.00
1998 07 07 06 33 00 000  -20.00   -19.00
1998 07 07 06 34 00 000  -19.00   -17.00
1998 07 07 06 35 00 000  -19.00   -19.00
1998 07 07 06 36 00 000  -19.00   -27.00
1998 07 07 06 37 00 000  -18.00   -37.00
1998 07 07 06 38 00 000  -18.00   -29.00
1998 07 07 06 39 00 000  -18.00   -22.00
1998 07 07 06 40 00 000  -17.00   -20.00
1998 07 07 06 41 00 000  -17.00   -21.00
1998 07 07 06 42 00 000  -18.00   -17.00
