BEGIN METADATA
MAG 16-second Averaged Interplanetary Magnetic Field Data
Data downloaded from ACE Science Center on Fri Sep 16 13:44:58 2022
MAG Team Software Version: 2.0
MAG Team Time/Date Processed: 

ACE Science Center Level2 Software Version: 1.5
ACE Science Center Processing Date/Time: Thu Jul 28 17:16:17 2022 PDT


Note: All timestamps are UT, and refer to the start of the time period.
year,day,hr,min,sec: year, day of year, hour of day, minutes, seconds.
fp_year       : fractional year.
fp_doy        : fractional day-of-year.
ACEepoch      : seconds since Jan 1 00:00:00 UT 1996.
SCclock       : ACE spacecraft clock counter (seconds).
Br            : R-component of mag. field in RTN (nT).
Bt            : T-component of mag. field in RTN (nT).
Bn            : N-component of mag. field in RTN (nT).
Bmag          : <|B|> magnetic field magnitude (nT).
Delta         : RTN latitude.
Lambda        : RTN longitude.
Bgse_x        : X-component of mag. field in GSE (nT).
Bgse_y        : Y-component of mag. field in GSE (nT).
Bgse_z        : Z-component of mag. field in GSE (nT).
Bgsm_x        : X-component of mag. field in GSM (nT).
Bgsm_y        : Y-component of mag. field in GSM (nT).
Bgsm_z        : Z-component of mag. field in GSM (nT).
dBrms         : RMS values of underlying high-resolution measurements (nT).
sigma_B       : Variance of |B|, i.e. sqrt(<(|B|-<|B|>)^2>) (nT).
fraction_good : Fraction of the timing period for which there was data available
N_vectors     : Number of hi-res (16-sec) measurements included in the average.
Quality       : 0 = Normal data.
              : 1 = Spacecraft Maneuver and high-nutation period (~4 hr).
              : 2 = Bad or missing data, (data values set to -999.9)
pos_gse_x,y,z : Components of spacecraft position in GSE (km).
pos_gsm_x,y,z : Components of spacecraft position in GSM (km).
A value of -999.9 indicates bad or missing data.

More Documentation of the ACE MAG level 2 data is at this web site:
http://www.srl.caltech.edu/ACE/ASC/level2/mag_l2desc.html

2018 109  0 48 11.221    2.815    2.066   -1.470
2018 109  0 48 27.221    2.838    2.067   -1.508
2018 109  0 48 43.221    2.872    2.018   -1.523
2018 109  0 48 59.221    2.863    2.034   -1.474
2018 109  0 49 15.221    2.869    1.947   -1.589
2018 109  0 49 31.221    2.808    2.008   -1.605
2018 109  0 49 47.221    2.819    1.962   -1.585
2018 109  0 50  3.221    2.981    1.937   -1.616
2018 109  0 50 19.221    2.891    1.903   -1.632
2018 109  0 50 35.221    2.947    1.966   -1.658
2018 109  0 50 51.221    3.061    1.898   -1.720
2018 109  0 51  7.221    3.180    1.949   -1.676
2018 109  0 51 23.221    3.131    2.011   -1.686
2018 109  0 51 39.221    2.722    1.983   -1.806
2018 109  0 51 55.221    2.686    2.210   -1.729
2018 109  0 52 11.221    2.369    2.539   -1.555
2018 109  0 52 27.221    2.364    2.497   -1.658
2018 109  0 52 43.221    2.437    2.467   -1.666
2018 109  0 52 59.221    2.461    2.462   -1.635
2018 109  0 53 15.221    2.452    2.365   -1.742
2018 109  0 53 31.221    2.309    2.572   -1.731
2018 109  0 53 47.221    2.342    2.456   -1.745
2018 109  0 54  3.221    2.277    2.677   -1.589
2018 109  0 54 19.221    2.167    2.803   -1.456
2018 109  0 54 35.221    2.364    2.736   -1.501
2018 109  0 54 51.221    2.329    2.661   -1.535
2018 109  0 55  7.220    2.191    2.860   -1.395
2018 109  0 55 23.220    2.212    2.841   -1.401
2018 109  0 55 39.220    2.379    2.680   -1.514
2018 109  0 55 55.220    2.215    2.736   -1.495
2018 109  0 56 11.220    2.279    2.757   -1.530
2018 109  0 56 27.220    2.178    2.772   -1.533
2018 109  0 56 43.220    2.079    2.832   -1.478
2018 109  0 56 59.220    2.067    2.833   -1.484
2018 109  0 57 15.220    2.090    2.865   -1.472
2018 109  0 57 31.220    2.065    2.877   -1.453
2018 109  0 57 47.220    2.016    2.868   -1.457
2018 109  0 58  3.220    2.022    2.881   -1.491
2018 109  0 58 19.220    2.067    2.836   -1.502
2018 109  0 58 35.220    2.131    2.806   -1.495
2018 109  0 58 51.220    2.141    2.746   -1.483
2018 109  0 59  7.220    2.059    2.674   -1.485
2018 109  0 59 23.220    2.086    2.689   -1.526
2018 109  0 59 39.220    2.026    2.705   -1.494
2018 109  0 59 55.220    2.131    2.473   -1.545
2018 109  1  0 11.220    1.996    2.367   -1.512
2018 109  1  0 27.220    1.880    2.317   -1.494
2018 109  1  0 43.220    1.945    2.219   -1.426
2018 109  1  0 59.220    2.017    2.250   -1.405
2018 109  1  1 15.220    1.924    2.225   -1.423
2018 109  1  1 31.220    2.041    2.371   -1.486
2018 109  1  1 47.220    1.939    2.431   -1.536
2018 109  1  2  3.220    1.513    2.666   -1.118
2018 109  1  2 19.220    1.419    2.634   -1.042
2018 109  1  2 35.220    1.563    2.603   -1.168
2018 109  1  2 51.220    1.710    2.469   -1.334
2018 109  1  3  7.220    1.793    2.315   -1.426
2018 109  1  3 23.220    1.845    2.333   -1.426
2018 109  1  3 39.220    1.913    2.344   -1.375
2018 109  1  3 55.219    1.877    2.307   -1.449
2018 109  1  4 11.219    1.911    2.329   -1.621
2018 109  1  4 27.219    1.941    2.441   -1.537
2018 109  1  4 43.219    1.960    2.507   -1.474
2018 109  1  4 59.219    2.017    2.444   -1.499
2018 109  1  5 15.219    2.083    2.417   -1.448
2018 109  1  5 31.219    2.200    2.262   -1.349
2018 109  1  5 47.219    2.401    1.535   -1.485
2018 109  1  6  3.219    3.020    1.049   -1.366
2018 109  1  6 19.219    2.934    1.170   -1.437
2018 109  1  6 35.219    2.875    1.122   -1.432
2018 109  1  6 51.219    2.782    1.240   -1.357
2018 109  1  7  7.219    2.401    2.103   -0.978
2018 109  1  7 23.219    2.454    2.040   -1.176
2018 109  1  7 39.219    2.483    1.887   -1.245
2018 109  1  7 55.219    2.654    1.711   -1.301
2018 109  1  8 11.219    2.686    1.673   -1.246
2018 109  1  8 27.219    2.639    1.570   -1.393
2018 109  1  8 43.219    2.901    1.385   -1.237
2018 109  1  8 59.219    2.888    1.330   -1.299
2018 109  1  9 15.219    3.165    1.111   -1.303
2018 109  1  9 31.219    3.279    1.040   -1.403
2018 109  1  9 47.219    3.285    0.953   -1.436
2018 109  1 10  3.219    3.185    1.130   -1.442
2018 109  1 10 19.219    3.057    1.332   -1.486
2018 109  1 10 35.219    3.069    1.243   -1.437
2018 109  1 10 51.219    3.099    1.166   -1.410
2018 109  1 11  7.219    3.280    0.960   -1.443
2018 109  1 11 23.219    3.267    0.812   -1.320
2018 109  1 11 39.219    3.159    0.895   -1.231
2018 109  1 11 55.219    3.047    0.966   -1.157
2018 109  1 12 11.219    3.082    1.064   -1.059
2018 109  1 12 27.218    2.976    1.234   -0.975
2018 109  1 12 43.218    2.780    1.527   -1.132
2018 109  1 12 59.218    2.285    2.011   -1.073
2018 109  1 13 15.218    2.216    2.042   -1.074
2018 109  1 13 31.218    2.220    2.057   -1.045
2018 109  1 13 47.218    2.163    2.162   -1.001
2018 109  1 14  3.218    2.088    2.147   -0.891
2018 109  1 14 19.218    2.067    2.204   -0.858
2018 109  1 14 35.218    2.044    2.205   -1.005
2018 109  1 14 51.218    2.150    2.136   -1.041
2018 109  1 15  7.218    2.216    2.107   -1.094
2018 109  1 15 23.218    2.164    2.255   -0.929
2018 109  1 15 39.218    2.134    2.236   -0.911
2018 109  1 15 55.218    2.174    2.097   -0.828
2018 109  1 16 11.218    2.305    1.803   -1.105
2018 109  1 16 27.218    2.208    1.801   -1.088
2018 109  1 16 43.218    2.212    1.723   -1.153
2018 109  1 16 59.218    2.269    1.716   -1.168
2018 109  1 17 15.218    2.183    1.677   -1.164
2018 109  1 17 31.218    2.176    1.647   -1.128
2018 109  1 17 47.218    2.077    1.655   -1.052
2018 109  1 18  3.218    2.203    1.565   -1.150
2018 109  1 18 19.218    2.164    1.444   -1.100
2018 109  1 18 35.218    1.983    1.585   -0.964
2018 109  1 18 51.218    2.378    1.332   -1.197
2018 109  1 19  7.218    2.198    1.515   -1.092
2018 109  1 19 23.218    2.077    1.373   -0.926
2018 109  1 19 39.218    1.875    1.509   -0.961
2018 109  1 19 55.218    1.749    1.371   -1.068
2018 109  1 20 11.218    1.584    1.390   -0.904
2018 109  1 20 27.218    1.682    1.375   -0.978
2018 109  1 20 43.218    1.538    1.309   -1.059
2018 109  1 20 59.217    1.639    1.324   -0.939
2018 109  1 21 15.217    1.699    1.445   -1.043
2018 109  1 21 31.217    1.940    1.537   -1.061
2018 109  1 21 47.217    1.951    1.545   -1.113
2018 109  1 22  3.217    1.836    1.825   -1.032
2018 109  1 22 19.217    1.463    1.618   -0.676
2018 109  1 22 35.217    1.644    1.268   -0.887
2018 109  1 22 51.217    1.617    0.840   -1.126
2018 109  1 23  7.217    1.618    1.110   -0.958
2018 109  1 23 23.217    1.535    1.114   -1.006
2018 109  1 23 39.217    1.585    1.132   -0.976
2018 109  1 23 55.217    1.641    1.223   -0.882
2018 109  1 24 11.217    1.683    1.231   -0.851
2018 109  1 24 27.217    1.610    1.284   -0.855
2018 109  1 24 43.217    1.582    1.302   -0.862
2018 109  1 24 59.217    1.545    1.307   -0.849
2018 109  1 25 15.217    1.589    1.378   -0.832
2018 109  1 25 31.217    1.484    1.383   -0.814
2018 109  1 25 47.217    1.711    1.423   -0.616
2018 109  1 26  3.217    1.526    1.487   -0.686
2018 109  1 26 19.217    1.414    1.493   -0.554
2018 109  1 26 35.217    1.460    1.390   -0.765
2018 109  1 26 51.217    1.416    1.363   -0.792
2018 109  1 27  7.217    1.477    1.211   -0.849
2018 109  1 27 23.217    1.587    1.225   -0.756
2018 109  1 27 39.217    1.526    1.219   -0.823
2018 109  1 27 55.217    1.580    1.195   -0.626
2018 109  1 28 11.217    1.607    1.174   -0.642
2018 109  1 28 27.217    1.569    1.197   -0.659
2018 109  1 28 43.217    1.559    1.168   -0.689
2018 109  1 28 59.217    1.562    1.150   -0.713
2018 109  1 29 15.217    1.448    1.185   -0.763
2018 109  1 29 31.217    1.475    1.215   -0.740
2018 109  1 29 47.216    1.592    1.240   -0.909
2018 109  1 30  3.216    1.591    1.204   -0.865
2018 109  1 30 19.216    1.652    1.192   -0.803
2018 109  1 30 35.216    1.633    1.126   -0.840
2018 109  1 30 51.216    1.739    1.093   -0.811
2018 109  1 31  7.216    1.742    1.209   -0.862
2018 109  1 31 23.216    1.636    1.240   -0.855
2018 109  1 31 39.216    1.638    1.252   -0.861
2018 109  1 31 55.216    1.694    1.261   -0.796
2018 109  1 32 11.216    1.795    1.213   -0.788
2018 109  1 32 27.216    1.833    1.242   -0.795
2018 109  1 32 43.216    1.743    1.301   -0.808
2018 109  1 32 59.216    1.792    1.277   -0.826
2018 109  1 33 15.216    1.685    1.302   -0.809
2018 109  1 33 31.216    1.759    1.337   -0.865
2018 109  1 33 47.216    1.726    1.348   -0.891
2018 109  1 34  3.216    1.687    1.382   -0.864
2018 109  1 34 19.216    1.683    1.332   -0.822
2018 109  1 34 35.216    1.751    1.392   -0.807
2018 109  1 34 51.216    1.772    1.441   -0.803
2018 109  1 35  7.216    1.750    1.404   -0.787
2018 109  1 35 23.216    1.652    1.372   -0.760
2018 109  1 35 39.216    1.736    1.366   -0.748
2018 109  1 35 55.216    1.725    1.374   -0.785
2018 109  1 36 11.216    1.600    1.394   -0.674
2018 109  1 36 27.216    1.562    1.374   -0.831
2018 109  1 36 43.216    1.595    1.337   -0.753
2018 109  1 36 59.216    1.558    1.268   -0.698
2018 109  1 37 15.216    1.558    1.358   -0.708
2018 109  1 37 31.216    1.556    1.365   -0.720
2018 109  1 37 47.216    1.507    1.384   -0.691
2018 109  1 38  3.216    1.451    1.417   -0.738
2018 109  1 38 19.215    1.529    1.417   -0.688
2018 109  1 38 35.215    1.549    1.440   -0.668
2018 109  1 38 51.215    1.441    1.422   -0.675
2018 109  1 39  7.215    1.408    1.457   -0.741
2018 109  1 39 23.215    1.419    1.471   -0.702
2018 109  1 39 39.215    1.378    1.409   -0.704
2018 109  1 39 55.215    1.359    1.386   -0.695
2018 109  1 40 11.215    1.263    1.443   -0.681
2018 109  1 40 27.215    1.211    1.457   -0.677
2018 109  1 40 43.215    1.381    1.402   -0.637
2018 109  1 40 59.215    1.441    1.429   -0.567
2018 109  1 41 15.215    1.517    1.451   -0.555
2018 109  1 41 31.215    1.604    1.429   -0.558
2018 109  1 41 47.215    1.585    1.429   -0.485
2018 109  1 42  3.215    1.598    1.378   -0.600
2018 109  1 42 19.215    1.656    1.350   -0.661
2018 109  1 42 35.215    1.593    1.342   -0.652
2018 109  1 42 51.215    1.604    1.307   -0.660
2018 109  1 43  7.215    1.553    1.314   -0.651
2018 109  1 43 23.215    1.471    1.295   -0.660
2018 109  1 43 39.215    1.514    1.290   -0.579
2018 109  1 43 55.215    1.450    1.293   -0.621
2018 109  1 44 11.215    1.456    1.295   -0.638
2018 109  1 44 27.215    1.431    1.294   -0.649
2018 109  1 44 43.215    1.306    1.328   -0.723
2018 109  1 44 59.215    1.423    1.300   -0.689
2018 109  1 45 15.215    1.302    1.373   -0.631
2018 109  1 45 31.215    1.441    1.390   -0.621
2018 109  1 45 47.215    1.402    1.346   -0.644
