Sym-H and AL  obtained from Kyoto WDC for SWPC Event 10.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1999 07 02 05 35 00 000    0.00  -368.00
1999 07 02 05 36 00 000    1.00  -347.00
1999 07 02 05 37 00 000    0.00  -359.00
1999 07 02 05 38 00 000    0.00  -371.00
1999 07 02 05 39 00 000   -1.00  -351.00
1999 07 02 05 40 00 000   -2.00  -353.00
1999 07 02 05 41 00 000   -3.00  -362.00
1999 07 02 05 42 00 000   -4.00  -359.00
1999 07 02 05 43 00 000   -4.00  -373.00
1999 07 02 05 44 00 000   -5.00  -366.00
1999 07 02 05 45 00 000   -6.00  -388.00
1999 07 02 05 46 00 000   -7.00  -397.00
1999 07 02 05 47 00 000   -8.00  -394.00
1999 07 02 05 48 00 000   -8.00  -363.00
1999 07 02 05 49 00 000   -9.00  -398.00
1999 07 02 05 50 00 000   -9.00  -405.00
1999 07 02 05 51 00 000  -10.00  -417.00
1999 07 02 05 52 00 000  -11.00  -415.00
1999 07 02 05 53 00 000  -11.00  -425.00
1999 07 02 05 54 00 000  -12.00  -460.00
1999 07 02 05 55 00 000  -12.00  -486.00
1999 07 02 05 56 00 000  -13.00  -501.00
1999 07 02 05 57 00 000  -13.00  -491.00
1999 07 02 05 58 00 000  -13.00  -492.00
1999 07 02 05 59 00 000  -13.00  -497.00
1999 07 02 06 00 00 000  -14.00  -499.00
1999 07 02 06 01 00 000  -15.00  -504.00
1999 07 02 06 02 00 000  -14.00  -504.00
1999 07 02 06 03 00 000  -13.00  -541.00
1999 07 02 06 04 00 000  -13.00  -556.00
1999 07 02 06 05 00 000  -14.00  -583.00
1999 07 02 06 06 00 000  -15.00  -653.00
1999 07 02 06 07 00 000  -16.00  -675.00
1999 07 02 06 08 00 000  -16.00  -674.00
1999 07 02 06 09 00 000  -18.00  -677.00
1999 07 02 06 10 00 000  -18.00  -638.00
1999 07 02 06 11 00 000  -18.00  -590.00
1999 07 02 06 12 00 000  -18.00  -595.00
1999 07 02 06 13 00 000  -17.00  -583.00
1999 07 02 06 14 00 000  -17.00  -547.00
1999 07 02 06 15 00 000  -16.00  -542.00
1999 07 02 06 16 00 000  -15.00  -565.00
1999 07 02 06 17 00 000  -15.00  -558.00
1999 07 02 06 18 00 000  -14.00  -539.00
1999 07 02 06 19 00 000  -14.00  -553.00
1999 07 02 06 20 00 000  -13.00  -548.00
1999 07 02 06 21 00 000  -12.00  -528.00
1999 07 02 06 22 00 000  -11.00  -518.00
1999 07 02 06 23 00 000  -11.00  -507.00
1999 07 02 06 24 00 000  -11.00  -497.00
1999 07 02 06 25 00 000  -11.00  -492.00
1999 07 02 06 26 00 000  -13.00  -459.00
1999 07 02 06 27 00 000  -14.00  -437.00
1999 07 02 06 28 00 000  -15.00  -424.00
1999 07 02 06 29 00 000  -15.00  -422.00
1999 07 02 06 30 00 000  -15.00  -404.00
1999 07 02 06 31 00 000  -15.00  -376.00
1999 07 02 06 32 00 000  -16.00  -362.00
1999 07 02 06 33 00 000  -16.00  -371.00
1999 07 02 06 34 00 000  -17.00  -357.00
1999 07 02 06 35 00 000  -18.00  -311.00
1999 07 02 06 36 00 000  -17.00  -292.00
1999 07 02 06 37 00 000  -16.00  -269.00
1999 07 02 06 38 00 000  -14.00  -295.00
1999 07 02 06 39 00 000  -13.00  -317.00
1999 07 02 06 40 00 000  -11.00  -304.00
1999 07 02 06 41 00 000  -10.00  -293.00
1999 07 02 06 42 00 000   -9.00  -290.00
1999 07 02 06 43 00 000   -7.00  -313.00
1999 07 02 06 44 00 000   -7.00  -302.00
1999 07 02 06 45 00 000   -6.00  -315.00
1999 07 02 06 46 00 000   -6.00  -327.00
1999 07 02 06 47 00 000   -6.00  -328.00
1999 07 02 06 48 00 000   -5.00  -339.00
1999 07 02 06 49 00 000   -4.00  -357.00
1999 07 02 06 50 00 000   -4.00  -363.00
1999 07 02 06 51 00 000   -4.00  -375.00
1999 07 02 06 52 00 000   -4.00  -382.00
1999 07 02 06 53 00 000   -4.00  -379.00
1999 07 02 06 54 00 000   -4.00  -384.00
1999 07 02 06 55 00 000   -5.00  -384.00
1999 07 02 06 56 00 000   -5.00  -379.00
1999 07 02 06 57 00 000   -5.00  -358.00
1999 07 02 06 58 00 000   -6.00  -336.00
1999 07 02 06 59 00 000   -4.00  -331.00
1999 07 02 07 00 00 000   -4.00  -356.00
1999 07 02 07 01 00 000   -5.00  -381.00
1999 07 02 07 02 00 000   -6.00  -438.00
1999 07 02 07 03 00 000   -7.00  -457.00
1999 07 02 07 04 00 000   -7.00  -445.00
1999 07 02 07 05 00 000   -7.00  -451.00
1999 07 02 07 06 00 000   -7.00  -474.00
1999 07 02 07 07 00 000   -7.00  -470.00
1999 07 02 07 08 00 000   -8.00  -467.00
1999 07 02 07 09 00 000   -8.00  -492.00
1999 07 02 07 10 00 000   -9.00  -481.00
1999 07 02 07 11 00 000   -9.00  -459.00
1999 07 02 07 12 00 000   -8.00  -446.00
1999 07 02 07 13 00 000   -9.00  -443.00
1999 07 02 07 14 00 000   -9.00  -453.00
1999 07 02 07 15 00 000  -10.00  -461.00
1999 07 02 07 16 00 000  -12.00  -450.00
1999 07 02 07 17 00 000  -12.00  -447.00
1999 07 02 07 18 00 000  -12.00  -455.00
1999 07 02 07 19 00 000  -13.00  -449.00
1999 07 02 07 20 00 000  -13.00  -469.00
1999 07 02 07 21 00 000  -14.00  -518.00
1999 07 02 07 22 00 000  -14.00  -547.00
1999 07 02 07 23 00 000  -15.00  -575.00
1999 07 02 07 24 00 000  -15.00  -597.00
1999 07 02 07 25 00 000  -15.00  -538.00
1999 07 02 07 26 00 000  -15.00  -483.00
1999 07 02 07 27 00 000  -14.00  -383.00
1999 07 02 07 28 00 000  -13.00  -396.00
1999 07 02 07 29 00 000  -12.00  -460.00
1999 07 02 07 30 00 000  -12.00  -499.00
1999 07 02 07 31 00 000  -12.00  -492.00
1999 07 02 07 32 00 000  -12.00  -475.00
1999 07 02 07 33 00 000  -11.00  -451.00
1999 07 02 07 34 00 000  -10.00  -445.00
1999 07 02 07 35 00 000  -11.00  -388.00
1999 07 02 07 36 00 000  -10.00  -410.00
1999 07 02 07 37 00 000  -10.00  -446.00
1999 07 02 07 38 00 000  -13.00  -484.00
1999 07 02 07 39 00 000  -14.00  -480.00
1999 07 02 07 40 00 000  -16.00  -528.00
1999 07 02 07 41 00 000  -18.00  -576.00
1999 07 02 07 42 00 000  -19.00  -606.00
1999 07 02 07 43 00 000  -21.00  -578.00
1999 07 02 07 44 00 000  -23.00  -558.00
1999 07 02 07 45 00 000  -24.00  -630.00
1999 07 02 07 46 00 000  -25.00  -653.00
